id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,type,fingerprint_hash,recruiter_id,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,entry_information,status
244,2021-11-04 15:29:03.233244,,,,,,f,,,{},participant,07fc1275aff57286ed2403a274037f3f,mturk,244,3WSELTNVR5Q54VU4SZUR0HDB3VEATC,244:3WSELTNVR5Q54VU4SZUR0HDB3VEATC,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 15:36:43.017686,1.2,1.05,{},approved
100,2021-11-04 14:44:01.2494,,,,,,f,,,{},participant,686b5e882aa376574ae3af329d563b3a,mturk,100,354GIDR5ZDU8N9ZV2V9OR0ZTXYY00S,100:354GIDR5ZDU8N9ZV2V9OR0ZTXYY00S,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:47:18.33947,1.2,1.15,{},approved
86,2021-11-04 14:38:05.513416,,,,,,f,,,{},participant,73a4032f40a7cc38dd840d552a45425c,mturk,86,3JNQLM5FT6ASGFRV6BZL88KWXUT2LN,86:3JNQLM5FT6ASGFRV6BZL88KWXUT2LN,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:40:42.066992,1.2,1.25,{},approved
111,2021-11-04 14:54:06.846353,,,,,,f,,,{},participant,cdb0c1627fe55cbbc870b90517adf924,mturk,111,3R8YZBNQ9J6ATD4E4SOCLL0YIG27QX,111:3R8YZBNQ9J6ATD4E4SOCLL0YIG27QX,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:57:30.644951,1.2,1.3,{},approved
35,2021-11-04 14:28:49.492642,,,,,,f,,,{},participant,5670be8685fe4e09dd94c5f41b094f17,mturk,35,317HQ483I9GMF08I7R0S8GV2RLPINF,35:317HQ483I9GMF08I7R0S8GV2RLPINF,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:35:59.385962,1.2,1.25,{},approved
63,2021-11-04 14:33:50.939576,,,,,,f,,,{},participant,04f612ab63ba44a6bc7ca97e2d1add32,mturk,63,3YJ6NA41JD4IDW415OYKO6FX4FGJPP,63:3YJ6NA41JD4IDW415OYKO6FX4FGJPP,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:35:20.488016,1.2,0,{},did_not_attend
671,2021-11-04 18:03:36.642437,,,,,,f,,,{},participant,bb341b139dab5b536f34fdf90cb65398,mturk,671,3C6FJU71TSHL0Q7W8AYH8ZHKP18YUN,671:3C6FJU71TSHL0Q7W8AYH8ZHKP18YUN,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 18:08:11.797148,1.2,0,{},did_not_attend
116,2021-11-04 14:56:03.59909,,,,,,f,,,{},participant,a4d6d8892033e67ff8ee826a6b7f8898,mturk,116,3P4RDNWND7UQWAHXST80F9ELI1KIJB,116:3P4RDNWND7UQWAHXST80F9ELI1KIJB,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:58:35.973339,1.2,1.4,{},approved
282,2021-11-04 15:38:33.634627,,,,,,f,,,{},participant,b108158aca1d1e8cc2d581ff4062064a,mturk,282,3ZQIG0FLQG4HO01WYZQYJOYNS0YVWR,282:3ZQIG0FLQG4HO01WYZQYJOYNS0YVWR,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 16:08:55.025016,,,{},abandoned
114,2021-11-04 14:55:53.864107,,,,,,f,,,{},participant,4199b492e4b49aebfd7bbb26309cbf76,mturk,114,3MX2NQ3YCBIFF6R72D47H9IVODTX54,114:3MX2NQ3YCBIFF6R72D47H9IVODTX54,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:59:54.281195,1.2,1.3,{},approved
77,2021-11-04 14:36:00.904039,,,,,,f,,,{},participant,b17a49ff5db7cff073eaa884de3d7e64,mturk,77,3B4YI393VBK8PR3JKZBSBCBVNI0SSU,77:3B4YI393VBK8PR3JKZBSBCBVNI0SSU,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:49:50.35183,1.2,1.4,{},approved
62,2021-11-04 14:33:50.220545,,,,,,f,,,{},participant,8a84710821d9607591dfd7403883d2cc,mturk,62,32N49TQG3I6KHNYTXUU61Z1W0GMVA5,62:32N49TQG3I6KHNYTXUU61Z1W0GMVA5,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:37:51.22502,1.2,1.35,{},approved
138,2021-11-04 15:02:39.367827,,,,,,f,,,{},participant,bd3a6972baee402c016b7e064447e141,mturk,138,33PPUNGG3ATTPOPK025VHV32OVGRZ9,138:33PPUNGG3ATTPOPK025VHV32OVGRZ9,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 15:14:44.48793,1.2,1.15,{},approved
61,2021-11-04 14:33:15.243537,,,,,,f,,,{},participant,2f096237fa62ca55f0da9728d62d1289,mturk,61,3BXQMRHWK1ML69IIP7A6E4UDGQ2UMZ,61:3BXQMRHWK1ML69IIP7A6E4UDGQ2UMZ,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:38:24.054896,1.2,1.35,{},approved
75,2021-11-04 14:35:39.095671,,,,,,f,,,{},participant,f192ddbdded216d9232dc6f46c83e928,mturk,75,33M4IA01QIP4KTP5ZKHAKANRGVIRXC,75:33M4IA01QIP4KTP5ZKHAKANRGVIRXC,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:38:25.638084,1.2,1.35,{},approved
127,2021-11-04 15:00:00.185688,,,,,,f,,,{},participant,a8f29d42046f853ff073979c13832649,mturk,127,32EYX73OY2XC3PVAUF6N03ONMD1URN,127:32EYX73OY2XC3PVAUF6N03ONMD1URN,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 15:02:24.101629,1.2,1.15,{},approved
